epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.8395,0.6488,0.72511,1.16013,1.02273,0.97096,0.96656,0.98496,0.79955,0.97096,0.96656,0.98466,0.90653,0.71766,0.58514,0.81346,1.08576,0.0006625,0.0006625,0.0006625
2,50.1115,0.57986,0.48304,0.65898,0.95782,0.92856,0.93142,0.95151,0.61465,0.92564,0.93153,0.95269,0.66718,0.91907,0.39269,1.23502,1.21852,0.00131601,0.00131601,0.00131601
3,73.0788,0.55825,0.47509,0.52581,0.94542,0.94678,0.93479,0.97266,0.7972,0.95005,0.93879,0.97873,0.89686,0.68662,0.33835,0.65806,0.85966,0.00195632,0.00195632,0.00195632
4,95.9514,0.53214,0.44775,0.45138,0.93338,0.95801,0.98086,0.98354,0.88724,0.95645,0.97927,0.98333,0.9152,0.47448,0.54057,0.48743,0.76911,0.0019406,0.0019406,0.0019406
5,118.788,0.49701,0.43359,0.40821,0.91005,0.9655,0.9586,0.98667,0.88196,0.9671,0.96019,0.98708,0.92647,0.48777,0.37999,0.40139,0.68881,0.0019208,0.0019208,0.0019208
6,141.878,0.4666,0.43477,0.38439,0.89998,0.9593,0.95701,0.97924,0.88972,0.9593,0.95701,0.97966,0.92334,0.42124,0.30631,0.64654,0.66622,0.001901,0.001901,0.001901
7,165.217,0.45226,0.38954,0.36743,0.88897,0.98249,0.98302,0.98866,0.90573,0.9809,0.98143,0.98839,0.92764,0.38758,0.37258,0.39383,0.62245,0.0018812,0.0018812,0.0018812
8,188.002,0.43106,0.44504,0.34671,0.88842,0.9749,0.98943,0.98882,0.9238,0.9749,0.98943,0.98882,0.93928,0.37806,0.30439,0.3186,0.63372,0.0018614,0.0018614,0.0018614
9,210.956,0.41895,0.40347,0.33839,0.8833,0.97683,0.98885,0.9883,0.93641,0.97683,0.98885,0.9883,0.95172,0.32119,0.26576,0.30278,0.59764,0.0018416,0.0018416,0.0018416
10,233.883,0.41068,0.38641,0.32723,0.87887,0.96732,0.98988,0.99088,0.92783,0.96577,0.98829,0.99071,0.94646,0.32254,0.28709,0.38673,0.60292,0.0018218,0.0018218,0.0018218
11,256.712,0.40235,0.39457,0.32176,0.87411,0.97636,0.98726,0.98697,0.93682,0.97478,0.98567,0.98684,0.93969,0.3178,0.28449,0.31511,0.58772,0.001802,0.001802,0.001802
12,279.463,0.38324,0.37824,0.31065,0.8715,0.98233,0.97373,0.99252,0.94823,0.98233,0.97373,0.99252,0.95307,0.31794,0.3605,0.28564,0.59892,0.0017822,0.0017822,0.0017822
13,302.438,0.38382,0.38068,0.30525,0.86498,0.98333,0.97611,0.98945,0.94771,0.98333,0.97611,0.98992,0.94959,0.29595,0.25524,0.29128,0.57478,0.0017624,0.0017624,0.0017624
14,325.399,0.37804,0.37236,0.29589,0.86542,0.97554,0.97611,0.98842,0.94628,0.97554,0.97611,0.98842,0.94995,0.30425,0.30553,0.27167,0.57766,0.0017426,0.0017426,0.0017426
15,348.166,0.37068,0.35479,0.29193,0.86251,0.97492,0.99039,0.99239,0.94672,0.97335,0.9888,0.9923,0.94696,0.31102,0.27738,0.27535,0.57217,0.0017228,0.0017228,0.0017228
16,371.19,0.36405,0.38691,0.28886,0.86425,0.98519,0.99045,0.99007,0.95687,0.98519,0.99045,0.99007,0.95053,0.27565,0.2665,0.25125,0.56019,0.001703,0.001703,0.001703
17,394.164,0.35784,0.38475,0.28129,0.85759,0.97494,0.99123,0.98841,0.95429,0.97494,0.99123,0.98841,0.95186,0.29161,0.26094,0.27517,0.58155,0.0016832,0.0016832,0.0016832
18,417.006,0.35558,0.36099,0.28072,0.85899,0.98422,0.99298,0.98936,0.95533,0.98422,0.99298,0.98936,0.95697,0.27691,0.23948,0.2639,0.56342,0.0016634,0.0016634,0.0016634
19,439.991,0.35009,0.3651,0.27766,0.85463,0.97581,0.99045,0.99035,0.96119,0.97581,0.99045,0.99035,0.9597,0.2704,0.26944,0.23075,0.56172,0.0016436,0.0016436,0.0016436
20,462.925,0.34366,0.35242,0.27299,0.85142,0.978,0.9909,0.99272,0.96385,0.97643,0.98931,0.99268,0.96119,0.26477,0.27031,0.23611,0.55329,0.0016238,0.0016238,0.0016238
21,485.882,0.34243,0.35124,0.27008,0.85704,0.97642,0.9891,0.99197,0.95976,0.97642,0.9891,0.99197,0.95601,0.27185,0.27025,0.24036,0.56443,0.001604,0.001604,0.001604
22,508.887,0.34242,0.36655,0.26891,0.85488,0.97053,0.99045,0.98895,0.95181,0.97053,0.99045,0.98895,0.95483,0.27717,0.25614,0.23728,0.55882,0.0015842,0.0015842,0.0015842
23,531.889,0.33641,0.35287,0.26375,0.85341,0.97482,0.99363,0.98833,0.9534,0.97326,0.99204,0.98829,0.96005,0.2709,0.3308,0.24131,0.55405,0.0015644,0.0015644,0.0015644
24,554.999,0.3327,0.33067,0.25789,0.85212,0.97795,0.98408,0.98814,0.96473,0.98094,0.98327,0.98809,0.95448,0.25021,0.26364,0.23345,0.54772,0.0015446,0.0015446,0.0015446
25,578.362,0.32602,0.37204,0.25936,0.84976,0.97962,0.99511,0.99235,0.96909,0.97805,0.99351,0.99232,0.9613,0.24254,0.26038,0.21857,0.53892,0.0015248,0.0015248,0.0015248
